tracker_uuid,exchange_uuid,start_time,original_utterance,asr_truth,duration,responses
CN-476996d2-2a50-4e80-8a19-cdca69164a57,b5bffaa6-966c-4537-ac93-efb49a334842,2021-06-10 12:03:00.211915+00:00,green chili extra x, green chili extra egg,2.7,"[('utter_variation_add', 'OK, I added #4 Classic Burrito with extra Green Sauce.'), ('utter_anything_else_with_recommendation', 'What else can I get for you today, coffee goes well with your order')]"
CN-d51818e9-c226-44b3-b503-462444f8e1ff,25fff0d8-e7ae-47d4-b195-e047d9a106d4,2021-06-04 19:02:26.906320+00:00,medium coke,a medium coke,1.2,"[('utter_variation_add', 'OK, I just added Medium Pepsi.'), ('utter_variation_add', 'OK, I just added Lottaburrger Meal with Regular Lottaburrger without Onion, Medium Season Fries and Medium Pepsi.'), ('utter_anything_else', 'What else do you want to add?')]"
CN-ef36eef4-eceb-4ee9-a89e-20a6638231a0,ad4ced7c-8090-4e8e-a1eb-e15c8984c6a1,2021-06-19 00:23:20.683034+00:00,seasoned fries,,1.3,"[('utter_disambiguate', 'In Sides, which one would you like? Large Season Fries or Medium Season Fries')]"
CN-dee85713-5411-4f1d-8ac7-567c80f80b42,26a9fa0b-0c89-4804-bbc2-7979812d89ba,2021-06-14 18:14:33.375765+00:00,to lotaburger, two lotaburgers,0.9,"[('utter_ask_combo_with_name', 'Do you want to convert it into a Lottaburrger Meal')]"
CN-59e0a280-f537-44f8-ba30-0b8c613f55fe,ba8622e4-a9f6-4458-b329-1ac91d487392,2021-06-18 16:56:25.763088+00:00,pepsi,diet pepsi,1,"[('utter_ask_with_variation', 'What Sizes for your Pepsi, Large or Medium?')]"
CN-1819d0f7-9887-40c0-9cb1-4e07ac8a3d2d,2d385d91-4a3a-460d-9085-f3b855e744ee,2021-06-01 15:37:36.600000+00:00,no make red and green,no make make the one red and green,4.9,"[('utter_edited_dish_item', 'Sure I have revised #1 Bacon Burrito with without red and green in your order.'), ('utter_anything_else', 'What else would you like to add today?')]"
CN-b05ff508-48b3-43d1-b0ec-3595359a667f,340539d5-73b1-48c1-bedd-b074c533e805,2021-06-08 18:17:44.818113+00:00,a lotaburger,,1.2,"[('utter_dynamic', 'How would you like your lottaburrger, regular or double meat?')]"
CN-5a507f73-c736-4166-89b0-dd6123350fed,f97c3dd8-9861-430f-b9f1-b6a590fe2a82,2021-06-05 22:23:30.061007+00:00,two lotto combos,two lota combos,2.6,"""""""""""""""[('utter_default', """"""""I'm sorry I missed what you said?""""""""), ('utter_disambiguate_help', 'Can you please tell the full item name? or just say """"""""no"""""""" to cancel.'), ('utter_disambiguate', 'For the Burgers which would you like? Itsaburrger or Lottaburrger')]"""""""""""""""
CN-0edf3893-9dd4-4bf2-8607-618620a43a87,3c9f9578-e59a-4838-823b-1e5652dde46c,2021-06-05 19:27:37.342997+00:00,green chili and cheese,,1.2,"[('utter_edited_dish_item', 'OK, I updated your Itsaburrger with green chili and cheese.'), ('utter_disambiguate_without_options', 'What Side would you like?')]"
CN-dce672ce-9d84-4637-99a2-1648ccbf95b7,a69238a4-abf4-4313-ba11-8ea46978c7ad,2021-06-19 20:35:50.143641+00:00,large fry stephen fry,large fry seasoned fry,4.7,"""""""""""""""[('utter_variation_add', """"""""I've added Large Fries!""""""""), ('utter_disambiguate_with_more', 'For the Drink which would you like? Bottle Water, Chocolate Milk, Coffee Diet Dr. Pepper or say more to hear more options.')]"""""""""""""""
